Title,Abstract,University,Country,Index_authors,Keywords,PublicationName,Publisher,Subject_Area,Subject_Area_CodeType,Citation_Type,Citation_Number,Reference_number,Year
"Solid Waste Management Awareness, Attitude, and Practices in a Philippine Catholic Higher Education Institution","© 2017, University of San Jose-Recoletos. All rights reserved.The paper assesses the solid waste management awareness, attitude, and practices of the employees and students of a Catholic higher education institution in the Philippines. Using a descriptive research design, the data were collected using a self-administered survey questionnaire and analyzed using descriptive and inferential statistics. The major findings of the study show that the respondents demonstrated a very high level of awareness and attitude and high extent of practice of solid waste management. A significant difference was found in the awareness, attitude, and practices of respondents when they were grouped according to status and religion. Also, the findings established the relationship between awareness and attitude on one hand and the extent of practice of solid waste management. Awareness, attitudes, and practices were significantly related to age and educational level, except for sex which showed no correlation with attitude and practices. Generally, this paper validates how knowledge influences attitude that subsequently determines behavior particularly in solid waste management as intervened by appropriate environmental education.","['University of Negros Occidental- Recoletos', 'Silliman University']",['Philippines'],"['Madrigal D.V.', 'Oracion E.G.']","['Attitude', 'Awareness', 'Practices', 'Solid Waste Management']",Recoletos Multidisciplinary Research Journal,University of San Jose-Recoletos,['Multidisciplinary'],['MULT'],Article,9,43.0,2017
Economic Decision across Regions of the Philippines,"© 2017, University of San Jose-Recoletos. All rights reserved.This study determines why Gross Regional Domestic Product per Capita (GRDP) differs across regions in the Philippines vis-à-vis population rate, tertiary graduate rate, and crime rate as factors. Using Minitab, it examines the secondary data sets based on every group from various regions of the country. Findings show that educated human capital converge more in highly developed areas where risks matter less and safety measures exist. This results to a concentrated high GRDP in some. It further reveals that index and non-index crime rate is not a hindrance for a person to move in the area with many opportunities as long as life is not at stake. There were more educated individuals in regions with lower GRDP; however, they practiced and worked in highly developed areas and where law is enforced, eyeinga better condition of life. By implication, it results to concentration of educated labor force in areas with better opportunities.",['Southern Leyte State University'],['Philippines'],['Ordiz J.E.G.'],"['economic disparity', 'multivariate analysis', 'risks taking']",Recoletos Multidisciplinary Research Journal,University of San Jose-Recoletos,['Multidisciplinary'],['MULT'],Article,0,22.0,2017
Evaluating Philippine Students’ Class Participation with a Token Currency System,"© 2017, University of San Jose-Recoletos. All rights reserved.Although past studies have validated the importance of active class participation in facilitating student learning, evaluating class participation remains a major issue. This study applies a token economy system to a Philippine university by awarding token currency to students who contributed meaningfully in class. After course completion, an online survey was administered to the 65 participating students, of which there were 26 completed responses. There was no evidence that the token economy increased student performance. However, survey results, coupled with student feedback, suggest that using a token economy is a viable alternative to traditional methods of evaluating student participation.",['University of the Philippines Cebu'],['Philippines'],['Yu S.Q.'],"['class participation', 'token economy']",Recoletos Multidisciplinary Research Journal,University of San Jose-Recoletos,['Multidisciplinary'],['MULT'],Article,0,58.0,2017
Energy and society,,,,,,Case Studies in the Environment,University of California Press,"['Education', 'Environmental Science (all)', 'Renewable Energy, Sustainability and the Environment']","['SOCI', 'ENVI', 'ENER']",Review,1,,
Stimulating economic recovery through euro area growth poles: Call for more directed unconventional monetary policy measures?,"© Institute of Economic Research.Research background: Transfer of newly created money through unconventional monetary measures follows the official European Central Bank distribution key. Yet, it does not take into account the ability of individual countries to drive growth process in other economies. Money spent to boost domestic credit provisioning in growth pole-like economies is more likely to spill over to other adjoined economies and help them to recover, even in the presence of depressed domestic demand and/or overleveraged domestic banking sector. Purpose of the article: This paper reports growth pole scores for 19 euro area countries, and compares it to the official distribution key used to transmit newly created source of funding. Methods: We modify the procedure developed in World Bank (2011) for growth pole computation in order to account for strength of linkages connecting member states. Findings & Value added: Our results suggest that the official distribution key might not be completely optimal once looking at the growth pole scores. Countries small in economic size (Baltic states, Slovakia and Slovenia) would benefit from a more differentiated distribution, as they strongly outperform their benchmark set by the official distribution key. On theother hand, big euro area economies do not achieve the levels used in official distribution key, taking into account their growth pole potential for other euro area economies.","['Slovak Academy of Sciences', 'University of Economics Bratislava']",['Slovakia'],"['Siranova M.', 'Kotlebova J.']","['Growth pole', 'Network analysis', 'Unconventional monetary policy']",Equilibrium. Quarterly Journal of Economics and Economic Policy,Institute of Economic Research,"['Economics and Econometrics', 'Economics, Econometrics and Finance (miscellaneous)']",['ECON'],Article,0,15.0,2011
Erratum: S-enantiomer of the antitubercular compound S006-830 complements activity of frontline TB drugs and targets biogenesis of mycobacterium tuberculosis cell envelope (ACS Omega (2017) 2:11 (8453-8465) DOI: 10.1021/acsomega.7b01281),"© 2017 American Chemical Society.Correction to page 8463. Under the Headings ""Molecular Docking""and ""Accession Codes"": The text (PDB ID: 3VIU) should be read as (PDB ID: 3V1U).",,,"['Mehta B.K.', 'Ahmad H.', 'Kumar S.K.', 'Thakur T.S.', 'Dwivedi A.K.', 'Sinha S.', 'Maurya V.K.', 'Chaturvedi V.', 'Singh P.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Erratum,0,,2017
"Erratum: Methanolysis of the cyclic acetal function of NanoKid catalyzed by NanoGoblin, the pyridinium salt of tetracyanocyclopentadienide (ACS Omega (2017) 2:11 (8543-8549) DOI: 10.1021/acsomega.7b01748)",© 2017 American Chemical Society.Carbon atoms of the deuterated methoxy groups (OCD3) were missing in the Table of Contents (TOC) graphic. The correct TOC graphic is below. (Figure Presented).,,,"['Mori Y.', 'Nakamura Y.', 'Sakai T.', 'Nagao Y.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Erratum,0,,2017
Natural Products Chemistry: What's the Next Step?,,['Universidade de São Paulo'],['Brazil'],"['Vieira P.C.', 'Lopes N.P.']",,ACS Omega,American Chemical Society,"['Chemistry (all)', 'Chemical Engineering (all)']","['CHEM', 'CENG']",Editorial,0,8.0,
The Future of Nietzsche’s Perspectivism as Political Consensus,"© 2017, University of San Jose-Recoletos. All rights reserved.In this paper, I delve on Nietzsche’s concept of perspectivism and how it becomes relevant amid contemporary society’s openness to relative standpoints. The foremost era that reflects this description points to postmodernism as a politics of difference. Nietzsche’s perspectivism is generally a critique of the conditions that absolutize truth. While this may seem a valiant opening for a welcoming era on an epistemological standpoint, it does not however do away with its own paradoxes. I contend whether this fits well with postmodernism and its ironic relationship to truth and asserts further that the conditions for Nietzsche’s perspectivism can only achieve its future if it hermeneutically stands as political consensus. Later, I will present the features of this perspectivism as political consensus and how it can be viable in postmodernity.",['Leyte Normal University'],['Philippines'],['Kahambing J.G.'],"['Nietzsche', 'Paradoxes', 'Perspectivism', 'Political Consensus', 'Postmodernism']",Recoletos Multidisciplinary Research Journal,University of San Jose-Recoletos,['Multidisciplinary'],['MULT'],Article,1,50.0,2017
"Erratum: ""Intersections of lung progenitor cells, lung disease and lung cancer."" Carla F. Kim. Eur Respir Rev 2017; 26: 170054 (European respiratory review : an official journal of the European Respiratory Society (2017) 26 144 PII: 175054)",,,,,,European respiratory review : an official journal of the European Respiratory Society,NLM (Medline),['Pulmonary and Respiratory Medicine'],['MEDI'],Erratum,0,,
